Factor,Mean_IC,IC_IR,Hit_Ratio,TMB_Return_ann,TMB_Sharpe,TMB_tstat,Valid_Stocks
MOM_21,0.00661058541653389,0.021147473646257183,0.505975954738331,0.472855924435977,0.4025697231105377,0.9535984648365359,20
MOM_63,0.002195799299588789,0.007491660142984509,0.5,0.5260029513725343,0.44467255120175586,1.0375692861374295,20
MOM_252,0.03563208720753196,0.11267558472106351,0.5155114116652577,2.0594034393225042,1.686940230315225,3.6550371656829888,20
VALUE_PE,-0.06587172937797836,-0.19949391266072958,0.46685236768802224,-2.7766521090184293,-2.4234632903696687,-5.785133630588424,20
QUALITY_TURN,-0.005416294932770502,-0.02213266505605672,0.49529944289693595,1.2569268533613012,1.313427642231477,3.1353288719544596,20
QUALITY_ROE,0.03890536596590615,0.13361850400780265,0.5188022284122563,0.495485886584165,0.4333701807983865,1.0345130530318476,20
RSI_14,0.0114015949493912,0.0370353415721352,0.504342150509875,1.1474117906711436,0.9684076577862348,2.3012319477843004,20
MACD,0.029883063408552357,0.09191560389032474,0.5160515320334262,1.4172340548411804,1.165912829396526,2.783191124239184,20
BOLL_20,0.002217147021617156,0.007505176141309566,0.5054398826226871,-0.08316183190567626,-0.07522217082846773,-0.17837357526084244,20
VOL_21,0.020236491357960275,0.06590848761913362,0.5112367491166079,4.40328124740227,3.790835873731644,8.982824841939353,20
VOL_63,0.014989654288961318,0.04646132491165883,0.5054624908958485,5.088197268823603,4.038345837115239,9.42624029532244,20
VOL_252,0.03796402809137717,0.12541977783055827,0.5188766891891892,4.930763767658325,4.306910152024915,9.335581886502263,20
REV_1,0.0034931842063495194,0.012249930132159694,0.5015331010452962,0.38080451720134384,0.334882953935879,0.7991323685992223,20
REV_5,-0.011291296314334112,-0.03848755829117241,0.4987071977638016,-0.7103701640519099,-0.6398087931608744,-1.524648570715208,20
REV_21,-0.007601693425429929,-0.02433496392268336,0.49356890459363956,-0.5177097115259914,-0.43234589372618,-1.0244936905303044,20
SIZE,-0.016619139974613027,-0.06850088724889439,0.4889275766016713,-1.39014098217173,-1.4846966472064733,-3.5441710790947774,20
